Año,Trimestre,Provincia,Banda Ancha Fija,Dial Up,Total,Periodo
2020,1,Tucumán,200045,220,200067,2020-T1
2019,4,Buenos Aires,3681120,5134,3686254,2019-T4
2019,4,CABA,1356695,141,1358105,2019-T4
2019,4,Catamarca,38310,10,38311,2019-T4
2019,4,Chaco,117900,30,117903,2019-T4
2019,4,Chubut,95292,8100,96102,2019-T4
2019,4,Córdoba,806633,550,806688,2019-T4
2019,4,Corrientes,113831,30,113834,2019-T4
2019,4,Entre Ríos,239017,130,239030,2019-T4
2019,4,Formosa,46711,0,46711,2019-T4
2019,4,Jujuy,88881,0,88881,2019-T4
2019,4,La Pampa,90280,1190,90399,2019-T4
2019,4,La Rioja,48999,30,49002,2019-T4
2019,4,Mendoza,185157,6230,185780,2019-T4
2019,4,Misiones,135813,0,135813,2019-T4
2019,4,Neuquén,116069,3760,116445,2019-T4
2019,4,Río Negro,126636,5040,127140,2019-T4
2019,4,Salta,172443,20,172445,2019-T4
2019,4,San Juan,64715,2590,64974,2019-T4
2019,4,San Luis,108053,1480,108201,2019-T4
2019,4,Santa Cruz,39170,2000,39370,2019-T4
2019,4,Santa Fe,769019,1500,769169,2019-T4
2019,4,Santiago Del Estero,103587,10,103588,2019-T4
2019,4,Tierra Del Fuego,40101,2910,40392,2019-T4
2019,4,Tucumán,198621,230,198644,2019-T4
2019,3,Buenos Aires,3950114,10119,3960233,2019-T3
2019,3,CABA,1437734,3477,1441211,2019-T3
