ID_Acceso_UT;ID_Localidad;ID_Tecnologia;Accesos
816;6260010;SATELITAL;39
817;6260010;WIRELESS;153
818;6260010;ADSL;2
819;6260010;CABLEMODEM;4375
820;6260010;FIBRA OPTICA;1326
821;6260010;Otros;7
822;6260010;SATELITAL;150
823;6260010;WIRELESS;191
824;6260010;CABLEMODEM;5503
825;6260010;FIBRA OPTICA;4
826;6260010;Otros;19
827;6260010;SATELITAL;24
828;6260010;WIRELESS;89
829;6260010;ADSL;3
830;6260010;CABLEMODEM;7446
831;6260010;DIAL UP;2
832;6260010;FIBRA OPTICA;2032
833;6260010;Otros;18
834;6260010;SATELITAL;22
835;6260010;WIRELESS;77
836;6260010;ADSL;30
837;6260010;CABLEMODEM;26379
838;6260010;DIAL UP;55
839;6260010;FIBRA OPTICA;32797
840;6260010;Otros;94
841;6260010;SATELITAL;32
842;6260010;WIRELESS;662
843;6260010;ADSL;4
844;6260010;WIRELESS;341
845;6266010;SATELITAL;94
846;6266010;WIRELESS;164
847;6266020;ADSL;189
848;6266020;DIAL UP;5
849;6266020;FIBRA OPTICA;114
850;6266020;SATELITAL;159
851;6266030;SATELITAL;45
852;6266030;ADSL;397
853;6266030;FIBRA OPTICA;335
854;6266030;SATELITAL;122
855;6266030;WIRELESS;43
856;6266040;CABLEMODEM;7649
857;6266040;DIAL UP;2
858;6266040;FIBRA OPTICA;148
859;6266040;SATELITAL;117
860;6266040;WIRELESS;31
861;6266050;SATELITAL;25
862;6266050;WIRELESS;5
863;6266060;ADSL;1134
864;6266060;FIBRA OPTICA;1794
865;6266060;Otros;96
866;6266060;SATELITAL;105
867;6266060;WIRELESS;164
868;6270010;ADSL;217
869;6270010;DIAL UP;2
870;6270010;FIBRA OPTICA;146
871;6270010;SATELITAL;61
872;6270010;ADSL;1
873;6270010;CABLEMODEM;1979
874;6270010;DIAL UP;1
875;6270010;FIBRA OPTICA;1660
876;6270010;Otros;12
877;6270010;SATELITAL;156
878;6270010;WIRELESS;64
879;6270010;ADSL;1
880;6270010;CABLEMODEM;4035
881;6270010;DIAL UP;2
882;6270010;FIBRA OPTICA;5145
883;6270010;Otros;2
884;6270010;SATELITAL;103
